id,pin_url,image_url,image_filename,pin_title_or_alt,pinner_account,board_or_topic,saves_count,comments_count,reactions_count,repins_or_shares_count,date_captured,top_label,top_confidence_pct,top3_labels,labels_json,status,error,why_it_caught_my_eye,top_confidence
1,https://in.pinterest.com/pin/4081455907315965/,https://i.pinimg.com/236x/73/82/78/7382781b71009c6a37c22f15a0216fd1.jpg,001_theme.jpg,Home Decor with indoor plants and fairy lights,LawsonYVH,lawson |Home Decore,,0,317,,9/19/2025,Architecture,100,Architecture (100.0%); Building (100.0%); Furniture (100.0%),"[{""name"": ""Architecture"", ""confidence"": 99.99998474121094}, {""name"": ""Building"", ""confidence"": 99.99998474121094}, {""name"": ""Furniture"", ""confidence"": 99.99998474121094}, {""name"": ""Indoors"", ""confidence"": 99.99998474121094}, {""name"": ""Living Room"", ""confidence"": 99.99998474121094}, {""name"": ""Room"", ""confidence"": 99.99998474121094}, {""name"": ""Plant"", ""confidence"": 99.9924087524414}, {""name"": ""Potted Plant"", ""confidence"": 99.9924087524414}, {""name"": ""Home Decor"", ""confidence"": 99.9897689819336}, {""name"": ""Interior Design"", ""confidence"": 99.893798828125}, {""name"": ""Couch"", ""confidence"": 97.8590087890625}]",ok,,"I liked the cozy aesthetic of the living room with plants and fairy lightS, it feels warm and natural",99.99998474
2,https://in.pinterest.com/pin/10766486606563151/,https://i.pinimg.com/236x/14/a3/d9/14a3d99bc9866bdaff29f9c746772811.jpg,002_theme.jpg,5 Indian Living Room Ideas You’ll Want to Share!,MyDecordesignIdeas,Home & Kitchen Design and Decoration Ideas,,0,255,,9/19/2025,Indoors,100,Indoors (100.0%); Reception (100.0%); Reception Room (100.0%),"[{""name"": ""Indoors"", ""confidence"": 99.99894714355469}, {""name"": ""Reception"", ""confidence"": 99.99894714355469}, {""name"": ""Reception Room"", ""confidence"": 99.99894714355469}, {""name"": ""Room"", ""confidence"": 99.99894714355469}, {""name"": ""Waiting Room"", ""confidence"": 99.99894714355469}, {""name"": ""Home Decor"", ""confidence"": 99.99109649658203}, {""name"": ""Architecture"", ""confidence"": 99.98304748535156}, {""name"": ""Building"", ""confidence"": 99.98304748535156}, {""name"": ""Furniture"", ""confidence"": 99.98304748535156}, {""name"": ""Living Room"", ""confidence"": 99.98304748535156}, {""name"": ""Couch"", ""confidence"": 99.26558685302734}, {""name"": ""Table"", ""confidence"": 98.49089813232422}, {""name"": ""Coffee Table"", ""confidence"": 97.57984924316406}, {""name"": ""Chandelier"", ""confidence"": 94.87145233154297}, {""name"": ""Lamp"", ""confidence"": 94.87145233154297}, {""name"": ""Interior Design"", ""confidence"": 93.79135131835938}]",ok,,I liked how the room combines traditional Indian style with modern furniture. The rich colors and cozy seating stood out to me.,99.99894714
3,https://in.pinterest.com/pin/297941331621153810/,https://i.pinimg.com/236x/3a/51/48/3a5148ce1f402f7d0c988def357a79a5.jpg,003_theme.jpg,Entry way makeover,mallammaqa,,,0,159,,9/19/2025,Altar,100,Altar (100.0%); Architecture (100.0%); Building (100.0%),"[{""name"": ""Altar"", ""confidence"": 99.99669647216797}, {""name"": ""Architecture"", ""confidence"": 99.99669647216797}, {""name"": ""Building"", ""confidence"": 99.99669647216797}, {""name"": ""Church"", ""confidence"": 99.99669647216797}, {""name"": ""Prayer"", ""confidence"": 99.99669647216797}, {""name"": ""Lighting"", ""confidence"": 99.9893569946289}, {""name"": ""Indoors"", ""confidence"": 95.18670654296875}, {""name"": ""Interior Design"", ""confidence"": 95.18670654296875}]",ok,,The fairy lights and warm tones make the room feel very cozy and relaxing.,99.99669647
4,https://in.pinterest.com/pin/1477812374087497/,https://i.pinimg.com/236x/ab/f2/80/abf280cbef5c88002088de60ea42fdb7.jpg,004_theme.jpg,Home Decor Living Room,thevisualvibes,,,4,1600,,9/19/2025,Architecture,100,Architecture (100.0%); Building (100.0%); Furniture (100.0%),"[{""name"": ""Architecture"", ""confidence"": 99.99942779541016}, {""name"": ""Building"", ""confidence"": 99.99942779541016}, {""name"": ""Furniture"", ""confidence"": 99.99942779541016}, {""name"": ""Indoors"", ""confidence"": 99.99942779541016}, {""name"": ""Living Room"", ""confidence"": 99.99942779541016}, {""name"": ""Room"", ""confidence"": 99.99942779541016}, {""name"": ""Home Decor"", ""confidence"": 99.99885559082031}, {""name"": ""Couch"", ""confidence"": 99.67105102539062}, {""name"": ""Table"", ""confidence"": 99.4861068725586}, {""name"": ""Interior Design"", ""confidence"": 98.76997375488281}, {""name"": ""Reception"", ""confidence"": 93.6458511352539}, {""name"": ""Reception Room"", ""confidence"": 93.6458511352539}, {""name"": ""Waiting Room"", ""confidence"": 93.6458511352539}]",ok,,I liked the modern decor and how plants brighten the space.,99.9994278
5,https://in.pinterest.com/pin/985231164849089/,https://i.pinimg.com/236x/c9/1b/bb/c91bbbc1441200f1e9f80ba243507bd5.jpg,005_theme.jpg,Cozy living room with soft lighting,espindolajohannaelizabeth,,,0,308,,9/19/2025,Home Decor,100,Home Decor (100.0%); Architecture (99.8%); Building (99.8%),"[{""name"": ""Home Decor"", ""confidence"": 99.99915313720703}, {""name"": ""Architecture"", ""confidence"": 99.82096099853516}, {""name"": ""Building"", ""confidence"": 99.82096099853516}, {""name"": ""Furniture"", ""confidence"": 99.82096099853516}, {""name"": ""Indoors"", ""confidence"": 99.82096099853516}, {""name"": ""Living Room"", ""confidence"": 99.82096099853516}, {""name"": ""Room"", ""confidence"": 99.82096099853516}, {""name"": ""Couch"", ""confidence"": 99.06755828857422}, {""name"": ""Interior Design"", ""confidence"": 93.18636322021484}, {""name"": ""Table"", ""confidence"": 91.32756042480469}]",ok,,The warm earthy tones and candle centerpiece make it look inviting,99.99915314
6,https://in.pinterest.com/pin/351912466672041/,https://i.pinimg.com/236x/32/7e/cb/327ecb53e08f289ff3255a061afce966.jpg,006_theme.jpg,Modern living room with sectional sofa,pandmike1972,,,0,344,,9/19/2025,Architecture,100,Architecture (100.0%); Building (100.0%); Furniture (100.0%),"[{""name"": ""Architecture"", ""confidence"": 99.99961853027344}, {""name"": ""Building"", ""confidence"": 99.99961853027344}, {""name"": ""Furniture"", ""confidence"": 99.99961853027344}, {""name"": ""Indoors"", ""confidence"": 99.99961853027344}, {""name"": ""Living Room"", ""confidence"": 99.99961853027344}, {""name"": ""Room"", ""confidence"": 99.99961853027344}, {""name"": ""Couch"", ""confidence"": 99.9977798461914}, {""name"": ""Lighting"", ""confidence"": 99.96150970458984}, {""name"": ""Interior Design"", ""confidence"": 99.90629577636719}, {""name"": ""Home Decor"", ""confidence"": 99.62554168701172}, {""name"": ""Table"", ""confidence"": 96.15373229980469}]",ok,,The mix of textures and cozy sofa made the space look welcoming.,99.99961853
7,https://in.pinterest.com/pin/70437490239853/,https://i.pinimg.com/236x/06/d8/33/06d83315c8e8ce9269c65ce4783e85e1.jpg,007_theme.jpg,Warm Cozy Living Room and Kitchen Combo Ideas,TimeSaverSophia,Create Beauty in Every Room: Discover Inspiring Recipes & Décor,,0,517,,9/19/2025,Home Decor,100,Home Decor (100.0%); Architecture (99.9%); Building (99.9%),"[{""name"": ""Home Decor"", ""confidence"": 99.99817657470703}, {""name"": ""Architecture"", ""confidence"": 99.93877410888672}, {""name"": ""Building"", ""confidence"": 99.93877410888672}, {""name"": ""Furniture"", ""confidence"": 99.93877410888672}, {""name"": ""Indoors"", ""confidence"": 99.93877410888672}, {""name"": ""Living Room"", ""confidence"": 99.93877410888672}, {""name"": ""Room"", ""confidence"": 99.93877410888672}, {""name"": ""Table"", ""confidence"": 99.5538330078125}, {""name"": ""Interior Design"", ""confidence"": 98.70647430419922}, {""name"": ""Dining Room"", ""confidence"": 95.41171264648438}, {""name"": ""Dining Table"", ""confidence"": 95.41171264648438}, {""name"": ""Couch"", ""confidence"": 92.55323028564453}, {""name"": ""Rug"", ""confidence"": 92.13568878173828}]",ok,,Smart use of a small space to combine living and dining areas.,99.99817657
8,https://in.pinterest.com/pin/351912466499361/,https://i.pinimg.com/236x/a0/f6/f8/a0f6f8b043fca073147fcb0f16367470.jpg,008_theme.jpg,Genius Ways to Combine a Living Room and Dining Room in Small Apartments,Homiezza,,,1,208,,9/19/2025,Architecture,100,Architecture (99.7%); Building (99.7%); Dining Room (99.7%),"[{""name"": ""Architecture"", ""confidence"": 99.70285034179688}, {""name"": ""Building"", ""confidence"": 99.70285034179688}, {""name"": ""Dining Room"", ""confidence"": 99.70285034179688}, {""name"": ""Dining Table"", ""confidence"": 99.70285034179688}, {""name"": ""Furniture"", ""confidence"": 99.70285034179688}, {""name"": ""Indoors"", ""confidence"": 99.70285034179688}, {""name"": ""Room"", ""confidence"": 99.70285034179688}, {""name"": ""Table"", ""confidence"": 99.70285034179688}, {""name"": ""Home Decor"", ""confidence"": 99.23538208007812}, {""name"": ""Interior Design"", ""confidence"": 98.84971618652344}, {""name"": ""Living Room"", ""confidence"": 98.20169830322266}, {""name"": ""Kitchen"", ""confidence"": 97.43072509765625}, {""name"": ""Plant"", ""confidence"": 93.48080444335938}, {""name"": ""Lighting"", ""confidence"": 92.31512451171875}]",ok,,Simple neutral colors and warm lighting made the room attractive,99.70285034
9,https://in.pinterest.com/pin/1759287348614759/,https://i.pinimg.com/236x/81/55/91/8155910117367bfc5a4723fe59e7411b.jpg,009_theme.jpg,Warm aesthetic bedroom with layered blankets,royox69292,,,1,136,,9/19/2025,Architecture,100,Architecture (99.9%); Building (99.9%); Furniture (99.9%),"[{""name"": ""Architecture"", ""confidence"": 99.89983367919922}, {""name"": ""Building"", ""confidence"": 99.89983367919922}, {""name"": ""Furniture"", ""confidence"": 99.89983367919922}, {""name"": ""Indoors"", ""confidence"": 99.89983367919922}, {""name"": ""Living Room"", ""confidence"": 99.89983367919922}, {""name"": ""Room"", ""confidence"": 99.89983367919922}, {""name"": ""Computer Hardware"", ""confidence"": 99.80876922607422}, {""name"": ""Electronics"", ""confidence"": 99.80876922607422}, {""name"": ""Hardware"", ""confidence"": 99.80876922607422}, {""name"": ""Monitor"", ""confidence"": 99.80876922607422}, {""name"": ""Screen"", ""confidence"": 99.80876922607422}, {""name"": ""Couch"", ""confidence"": 99.08959197998047}, {""name"": ""TV"", ""confidence"": 98.7093734741211}, {""name"": ""Home Decor"", ""confidence"": 98.38256072998047}, {""name"": ""Interior Design"", ""confidence"": 98.18820190429688}, {""name"": ""Plant"", ""confidence"": 93.11768341064453}]",ok,,The warm lighting and soft textures make the room feel very inviting,99.89983368
10,https://in.pinterest.com/pin/492649953383574/,https://i.pinimg.com/236x/e1/89/ef/e189efd3419a259437e6378784a5b7b4.jpg,010_theme.jpg,Boho-inspired living space with woven textures,memmedov1980anar,,,3,788,,9/19/2025,Architecture,100,Architecture (100.0%); Building (100.0%); Furniture (100.0%),"[{""name"": ""Architecture"", ""confidence"": 99.99990844726562}, {""name"": ""Building"", ""confidence"": 99.99990844726562}, {""name"": ""Furniture"", ""confidence"": 99.99990844726562}, {""name"": ""Indoors"", ""confidence"": 99.99990844726562}, {""name"": ""Living Room"", ""confidence"": 99.99990844726562}, {""name"": ""Room"", ""confidence"": 99.99990844726562}, {""name"": ""Home Decor"", ""confidence"": 99.65162658691406}, {""name"": ""Couch"", ""confidence"": 99.52638244628906}, {""name"": ""Dining Room"", ""confidence"": 96.91675567626953}, {""name"": ""Dining Table"", ""confidence"": 96.91675567626953}, {""name"": ""Table"", ""confidence"": 96.91675567626953}, {""name"": ""Computer Hardware"", ""confidence"": 94.15809631347656}, {""name"": ""Electronics"", ""confidence"": 94.15809631347656}, {""name"": ""Hardware"", ""confidence"": 94.15809631347656}, {""name"": ""Monitor"", ""confidence"": 94.15809631347656}, {""name"": ""Screen"", ""confidence"": 94.15809631347656}, {""name"": ""TV"", ""confidence"": 91.90882110595703}]",ok,,The uncluttered setup creates a calm and organized living room feel.,99.99990845
